vowel F1(Hz) F2(Hz) F3(Hz) rateF2(Hz/ms) f0Median(Hz) Baseline(Hz) SpectEmph(dB) 
Iu 420 737 2164 -2.1 161 135 39.7 
a 622 1295 1748 -8.9 136 136 43.4 
A 796 1275 2062 0.4 138 134 30.4 
I 414 1860 2035 1.9 187 183 18.9 
a 593 1300 1874 -4.0 142 142 42.5 
U 460 1214 1602 -1.3 138 136 26.6 
a 672 1260 1988 3.9 136 135 32.5 
U 414 1245 1827 -2.5 135 135 31.5 
I 352 1863 1997 -2.6 154 152 24.3 
eI 389 1477 2016 -3.2 112 96 33.3 
i 411 1936 2203 5.4 122 122 24.5 
A 580 1435 1806 0.02 159 108 32.9 
i 398 1924 2048 7.2 181 174 29.8 
A 535 1520 1796 0.7 127 118 27.2 
E 413 1711 1935 6.0 124 121 36.3 
oI 415 1760 2045 15.6 128 127 32.5 
a 569 1344 1750 6.0 135 133 30.8 
E 431 1307 1649 -10.7 131 130 30.9 
E 414 1478 1793 5.3 127 122 26.6 
A 556 1411 1751 -4.7 131 129 34.4 
Ia 402 1940 2088 -4.8 98 94 47.4 
O 507 1125 1208 -1.8 151 149 34.1 
e 443 1581 1720 7.2 209 200 19.2 
a 658 1362 2009 -3.6 122 115 32.1 
E 436 1671 1858 3.7 135 129 26.0 
U 439 1494 1719 -4.6 214 211 21.5 
i 376 1804 1972 11.3 183 158 24.3 
aI 451 1703 1872 -8.1 144 140 36.1 
O 583 1146 1360 7.8 145 145 31.5 
aI 548 1333 1801 2.8 149 148 31.9 
A 618 1057 1508 -2.8 138 132 41.3 
a 594 1252 1680 -1.7 137 134 38.1 
E 537 1413 1612 4.3 136 132 28.9 
a 719 1304 1991 0.7 114 98 33.0 
oh 607 853 1917 -2.4 129 128 41.0 
A 587 1271 1962 2.1 129 126 34.9 
I 407 1610 1993 -3.0 124 124 29.1 
I 492 2018 2222 11.2 126 122 32.4 
eI 366 2082 2181 7.0 116 109 33.9 
eI 408 1921 2132 -8.7 137 62 37.3 
I 401 1651 1897 -4.1 191 186 24.0 
U 453 1100 1524 -1.0 125 124 29.1 
a 632 1187 1479 5.7 122 100 31.0 
I 436 1816 2064 -1.9 114 112 25.9 
eI 368 1707 2111 8.6 119 104 32.4 
U 474 787 2119 -8.3 240 224 25.7 
i 385 1783 2044 1.0 138 137 25.5 
a 548 1614 1898 -8.2 137 135 34.2 
i 394 1682 2046 1.4 187 158 32.2 
eh 508 1763 1932 3.4 124 119 38.6 
I 388 2076 2121 25.7 139 131 27.5 
U 468 1107 2020 -6.2 161 158 22.0 
a 749 1192 1915 2.4 170 164 27.2 
I 389 1183 1969 0.1 168 160 17.9 
eR 535 1615 1827 1.2 178 157 37.8 
U 469 1217 2032 -6.3 155 145 28.3 
O 519 946 1754 4.1 137 136 26.7 
e 467 1494 1802 -0.1 149 144 34.9 
aI 452 1815 1884 5.4 150 125 31.0 
e 443 1928 2112 5.2 140 138 33.2 
eh 583 1703 1910 4.3 123 121 39.4 
I 337 2020 2349 5.1 161 --undefined-- 20.0 
A 710 1320 1986 6.9 132 124 38.9 
o 456 941 1864 -11.9 139 122 28.4 
A 451 1771 2034 9.0 152 143 21.3 
A 622 1471 1821 1.5 117 112 29.8 
Ia 494 1672 1817 8.4 154 131 38.9 
eh 497 1793 2027 -1.9 116 112 50.8 
A 581 1448 1812 1.7 146 130 33.2 
I 357 2021 2166 -4.2 166 159 26.2 
